Date,Region,Type,Value
2020-09-16,Allover Bangladesh,Confirmed Cases,1615.0
2020-09-17,Allover Bangladesh,Confirmed Cases,1593.0
2020-09-18,Allover Bangladesh,Confirmed Cases,1541.0
2020-09-19,Allover Bangladesh,Confirmed Cases,1567.0
2020-09-20,Allover Bangladesh,Confirmed Cases,1544.0
2020-09-21,Allover Bangladesh,Confirmed Cases,1705.0
2020-09-22,Allover Bangladesh,Confirmed Cases,1557.0
2020-09-23,Allover Bangladesh,Confirmed Cases,1666.0
2020-09-24,Allover Bangladesh,Confirmed Cases,1540.0
2020-09-25,Allover Bangladesh,Confirmed Cases,1383.0
2020-09-26,Allover Bangladesh,Confirmed Cases,1106.0
2020-09-27,Allover Bangladesh,Confirmed Cases,1275.0
2020-09-28,Allover Bangladesh,Confirmed Cases,1407.0
2020-09-29,Allover Bangladesh,Confirmed Cases,1488.0
2020-09-30,Allover Bangladesh,Confirmed Cases,1436.0
2020-10-01,Allover Bangladesh,Confirmed Cases,1508.0
2020-10-02,Allover Bangladesh,Confirmed Cases,1396.0
2020-10-03,Allover Bangladesh,Confirmed Cases,1182.0
2020-10-04,Allover Bangladesh,Confirmed Cases,1125.0
2020-10-05,Allover Bangladesh,Confirmed Cases,1442.0
2020-10-06,Allover Bangladesh,Confirmed Cases,1499.0
2020-10-07,Allover Bangladesh,Confirmed Cases,1520.0
2020-10-08,Allover Bangladesh,Confirmed Cases,1441.0
2020-10-09,Allover Bangladesh,Confirmed Cases,1278.0
2020-10-10,Allover Bangladesh,Confirmed Cases,1203.0
2020-10-11,Allover Bangladesh,Confirmed Cases,1193.0
2020-10-12,Allover Bangladesh,Confirmed Cases,1472.0
2020-10-13,Allover Bangladesh,Confirmed Cases,1537.0
2020-10-14,Allover Bangladesh,Confirmed Cases,1684.0
2020-10-15,Allover Bangladesh,Confirmed Cases,1600.0
2020-10-16,Allover Bangladesh,Confirmed Cases,1527.0
2020-10-17,Allover Bangladesh,Confirmed Cases,1209.0
2020-10-18,Allover Bangladesh,Confirmed Cases,1274.0
2020-10-19,Allover Bangladesh,Confirmed Cases,1637.0
2020-10-20,Allover Bangladesh,Confirmed Cases,1380.0
2020-10-21,Allover Bangladesh,Confirmed Cases,1545.0
2020-10-22,Allover Bangladesh,Confirmed Cases,1696.0
2020-10-23,Allover Bangladesh,Confirmed Cases,1586.0
2020-10-24,Allover Bangladesh,Confirmed Cases,1094.0
2020-10-25,Allover Bangladesh,Confirmed Cases,1308.0
2020-10-26,Allover Bangladesh,Confirmed Cases,1436.0
2020-10-27,Allover Bangladesh,Confirmed Cases,1335.0
2020-10-28,Allover Bangladesh,Confirmed Cases,1493.0
2020-10-29,Allover Bangladesh,Confirmed Cases,1681.0
2020-10-30,Allover Bangladesh,Confirmed Cases,1604.0
2020-10-31,Allover Bangladesh,Confirmed Cases,1320.0
2020-11-01,Allover Bangladesh,Confirmed Cases,1568.0
2020-11-02,Allover Bangladesh,Confirmed Cases,1736.0
2020-11-03,Allover Bangladesh,Confirmed Cases,1659.0
2020-11-04,Allover Bangladesh,Confirmed Cases,1517.0
2020-11-05,Allover Bangladesh,Confirmed Cases,1842.0
2020-11-06,Allover Bangladesh,Confirmed Cases,1469.0
2020-11-07,Allover Bangladesh,Confirmed Cases,1289.0
2020-11-08,Allover Bangladesh,Confirmed Cases,1474.0
2020-11-09,Allover Bangladesh,Confirmed Cases,1683.0
2020-11-10,Allover Bangladesh,Confirmed Cases,1699.0
2020-11-11,Allover Bangladesh,Confirmed Cases,1733.0
2020-11-12,Allover Bangladesh,Confirmed Cases,1845.0
2020-11-13,Allover Bangladesh,Confirmed Cases,1767.0
2020-11-14,Allover Bangladesh,Confirmed Cases,1531.0
2020-11-15,Allover Bangladesh,Confirmed Cases,1837.0
2020-11-16,Allover Bangladesh,Confirmed Cases,2139.0
2020-11-17,Allover Bangladesh,Confirmed Cases,2212.0
2020-11-18,Allover Bangladesh,Confirmed Cases,2111.0
2020-11-19,Allover Bangladesh,Confirmed Cases,2364.0
2020-11-20,Allover Bangladesh,Confirmed Cases,2275.0
2020-11-21,Allover Bangladesh,Confirmed Cases,1847.0
2020-11-22,Allover Bangladesh,Confirmed Cases,2060.0
2020-11-23,Allover Bangladesh,Confirmed Cases,2419.0
2020-11-24,Allover Bangladesh,Confirmed Cases,2230.0
2020-11-25,Allover Bangladesh,Confirmed Cases,2156.0
2020-11-26,Allover Bangladesh,Confirmed Cases,2292.0
2020-11-27,Allover Bangladesh,Confirmed Cases,2273.0
2020-11-28,Allover Bangladesh,Confirmed Cases,1908.0
2020-11-29,Allover Bangladesh,Confirmed Cases,1788.0
2020-11-30,Allover Bangladesh,Confirmed Cases,2525.0
2020-12-01,Allover Bangladesh,Confirmed Cases,2293.0
2020-12-02,Allover Bangladesh,Confirmed Cases,2198.0
2020-12-03,Allover Bangladesh,Confirmed Cases,2316.0
2020-12-04,Allover Bangladesh,Confirmed Cases,2252.0
2020-12-05,Allover Bangladesh,Confirmed Cases,1888.0
2020-12-06,Allover Bangladesh,Confirmed Cases,1666.0
2020-12-07,Allover Bangladesh,Confirmed Cases,2198.0
2020-12-08,Allover Bangladesh,Confirmed Cases,2202.0
2020-12-09,Allover Bangladesh,Confirmed Cases,2159.0
2020-12-10,Allover Bangladesh,Confirmed Cases,1861.0
2020-12-11,Allover Bangladesh,Confirmed Cases,1884.0
2020-12-12,Allover Bangladesh,Confirmed Cases,1329.0
2020-12-13,Allover Bangladesh,Confirmed Cases,1355.0
2020-12-14,Allover Bangladesh,Confirmed Cases,1799.0
2020-12-15,Allover Bangladesh,Confirmed Cases,1877.0
2020-12-16,Allover Bangladesh,Confirmed Cases,1632.0
2020-12-17,Allover Bangladesh,Confirmed Cases,1134.0
2020-12-18,Allover Bangladesh,Confirmed Cases,1318.0
2020-12-19,Allover Bangladesh,Confirmed Cases,1267.0
2020-12-20,Allover Bangladesh,Confirmed Cases,1153.0
2020-12-21,Allover Bangladesh,Confirmed Cases,1470.0
2020-12-22,Allover Bangladesh,Confirmed Cases,1318.0
2020-12-23,Allover Bangladesh,Confirmed Cases,1367.0
2020-12-24,Allover Bangladesh,Confirmed Cases,1234.0
2020-12-25,Allover Bangladesh,Confirmed Cases,1163.0
2020-12-26,Allover Bangladesh,Confirmed Cases,834.0
2020-12-27,Allover Bangladesh,Confirmed Cases,1049.0
2020-12-28,Allover Bangladesh,Confirmed Cases,932.0
2020-12-29,Allover Bangladesh,Confirmed Cases,1181.0
2020-12-30,Allover Bangladesh,Confirmed Cases,1235.0
2020-12-31,Allover Bangladesh,Confirmed Cases,1014.0
2021-01-01,Allover Bangladesh,Confirmed Cases,990.0
2021-01-02,Allover Bangladesh,Confirmed Cases,684.0
2021-01-03,Allover Bangladesh,Confirmed Cases,835.0
2021-01-04,Allover Bangladesh,Confirmed Cases,910.0
2021-01-05,Allover Bangladesh,Confirmed Cases,991.0
2021-01-06,Allover Bangladesh,Confirmed Cases,978.0
2021-01-07,Allover Bangladesh,Confirmed Cases,1007.0
2021-01-08,Allover Bangladesh,Confirmed Cases,785.0
2021-01-09,Allover Bangladesh,Confirmed Cases,692.0
2021-01-10,Allover Bangladesh,Confirmed Cases,1071.0
2021-01-11,Allover Bangladesh,Confirmed Cases,849.0
2021-01-12,Allover Bangladesh,Confirmed Cases,718.0
2021-01-13,Allover Bangladesh,Confirmed Cases,890.0
2021-01-14,Allover Bangladesh,Confirmed Cases,813.0
2021-01-15,Allover Bangladesh,Confirmed Cases,762.0
2021-01-16,Allover Bangladesh,Confirmed Cases,578.0
2021-01-17,Allover Bangladesh,Confirmed Cases,569.0
2021-01-18,Allover Bangladesh,Confirmed Cases,697.0
2021-01-19,Allover Bangladesh,Confirmed Cases,702.0
2021-01-20,Allover Bangladesh,Confirmed Cases,656.0
2021-01-21,Allover Bangladesh,Confirmed Cases,584.0
2021-01-22,Allover Bangladesh,Confirmed Cases,619.0
2021-01-23,Allover Bangladesh,Confirmed Cases,436.0
2021-01-24,Allover Bangladesh,Confirmed Cases,473.0
2021-01-25,Allover Bangladesh,Confirmed Cases,602.0
2021-01-26,Allover Bangladesh,Confirmed Cases,515.0
2021-01-27,Allover Bangladesh,Confirmed Cases,528.0
2021-01-28,Allover Bangladesh,Confirmed Cases,509.0
2021-01-29,Allover Bangladesh,Confirmed Cases,454.0
2021-01-30,Allover Bangladesh,Confirmed Cases,363.0
2021-01-31,Allover Bangladesh,Confirmed Cases,369.0
